year,month,symbol,sectorL2,cap,averageLiquidity21,averageLiquidity63,averageLiquidity252,grossProfitQoQ,roe,eps,pe,pb
2024,12,VIC,Real Estate,154858293220500.0,1688989.1429,2186141.7937,2762260.7659,0.8691,0.074,2464.08,16.44,1.15
2024,12,BVH,Insurance,35260331290000.0,435799.2857,383782.127,541758.3294,0.6396,0.0865,2571.34,18.47,1.55
2024,12,VND,Financial Services,20931623735000.0,6548694.1429,9877757.4921,17085508.5873,0.3599,0.13,1716.48,8.01,1.08
2024,12,HAG,Food & Beverage,12635921431850.0,6974716.5238,5803434.3333,12028460.0317,0.2633,0.2489,1841.81,6.49,1.51
2024,12,BCM,Real Estate,68827500000000.0,251327.4286,309268.8571,704347.1349,0.3245,0.1491,2692.59,24.7,3.6
2024,12,TCH,Real Estate,10424167150800.0,4924747.5714,5619208.4921,9795810.9206,0.5276,0.1152,1546.03,10.09,1.13
2025,1,OCB,Banks,28109996332800.0,3040568.5714,3817979.0952,2927421.9484,0.0593,0.1026,1243.3,9.17,0.92
2025,1,GEX,Industrial Goods & Services,16415109046300.0,3767386.5714,5324119.1905,11390848.0992,0.1099,0.0805,1216.79,15.7,1.23
2025,1,GEE,Industrial Goods & Services,10290000000000.0,899015.4762,315662.5714,108310.6865,0.0551,0.1977,3739.47,9.17,1.68
2025,1,VHM,Real Estate,164296480160000.0,3736922.6667,11634375.6508,9561089.3294,0.1223,0.1086,4730.5,8.46,0.82
2025,1,LPB,Banks,93352999156250.0,2473559.9524,2147795.5714,4076374.373,0.0627,0.2589,3279.02,9.53,2.3
2025,1,FOX,Telecommunications,47672917038544.0,110541.8095,105698.5238,142106.4881,0.0661,0.2932,5385.54,17.97,4.84
2025,1,VHC,Food & Beverage,15823947709500.0,808626.6667,715716.9206,797020.6071,0.2344,0.1023,3820.21,18.45,1.82
2025,1,GMD,Industrial Goods & Services,26991666106800.0,821945.0952,1001896.1429,1246369.8571,0.1387,0.1478,4268.82,15.27,2.97
2025,1,VCG,Construction & Materials,10864471262700.0,3934522.0952,3275892.5238,4711641.3651,0.2303,0.1027,1314.78,13.8,1.39
2025,1,PVS,Oil & Gas,16203057231000.0,2243842.0952,2286813.1746,4241296.8016,0.3887,0.0701,1919.37,17.66,1.23
2025,1,VIX,Financial Services,14366354754050.0,15851412.4286,17244896.9683,22390517.0714,0.8933,0.0693,814.2,12.1,0.9
2025,1,VIC,Real Estate,155049476298550.0,2013923.7619,1908578.1587,2682147.0913,0.8691,0.074,2464.08,16.46,1.15
2025,1,BVH,Insurance,37635764134800.0,868640.5238,546066.6984,592570.8294,0.6396,0.0865,2571.34,19.72,1.65
2025,1,BMP,Construction & Materials,10731968971800.0,242006.2381,246168.0317,227018.246,0.1986,0.3644,12419.46,10.56,3.65
2025,1,VND,Financial Services,19180978840800.0,8449846.4286,8450400.9841,15657374.3929,0.3599,0.13,1716.48,7.34,0.99
